Cadence (Burst),JD_UTC,av_rel_flux T1,av_rel_flux C2,av_rel_flux C3,av_rel_flux C4,av_rel_flux C5,std_T1,std_C2,std_C3,std_C4,std_C5,CoV T1,CoV C2,CoV C3,CoV C4,CoV C5
10-7,2458642.99,0.4527398,0.2285296,0.3374559,0.3314824,0.4549985,0.001229968,0.000445588,0.001266937,0.001168542,0.001295081,0.27167,0.19498,0.37544,0.35252,0.28463
10-8,2458643.992,0.4547957,0.2284143,0.3375104,0.3315434,0.4550226,0.001355048342,0.0006016211516,0.001035369229,0.001450802137,0.001034944656,0.29795,0.26339,0.30677,0.43759,0.22745
10-9,2458644.992,0.470298,0.2306485,0.335045625,0.327429375,0.459781125,0.001136948328,0.001342713949,0.004032727673,0.001786459063,0.003035813006,0.24175,0.58215,1.20364,0.54560,0.66027
10-10,2458645.992,0.4425773333,0.2281121111,0.3411034444,0.3277431111,0.4557742222,0.002489772368,0.002130243776,0.002870643989,0.002568226212,0.002042098146,0.56256,0.93386,0.84158,0.78361,0.44805
11-2,2458648.993,0.4544063,0.2308293,0.3398287,0.3273827,0.4539007,0.001451257527,0.001155076279,0.001622937155,0.003315370388,0.00251477693,0.31937,0.50040,0.47758,1.01269,0.55404
11-3,2458649.993,0.4652416,0.2279643,0.3457897,0.3291764,0.4487864,0.003255292804,0.001663018343,0.002342322909,0.002157214602,0.002183061117,0.69970,0.72951,0.67738,0.65534,0.48644
11-5,2458652.107,0.4459016,0.2275403,0.3378215,0.3322477,0.4550456,0.002543628165,0.00113011814,0.002019054494,0.001740351289,0.00108340336,0.57045,0.49667,0.59767,0.52381,0.23809
11-6,2458652.993,0.4689783,0.231599,0.3401272,0.3258304,0.4543295,0.00265147544,0.001422729138,0.001744146313,0.00126563535,0.0008393309538,0.56537,0.61431,0.51279,0.38843,0.18474
11-7,2458653.993,0.4484071,0.2291148,0.3427322,0.3263703,0.4540905,0.001844621449,0.001048187178,0.001797705916,0.001926729304,0.0008179868275,0.41137,0.45749,0.52452,0.59035,0.18014
11-10,2458656.993,0.4582741,0.2319019,0.3355464,0.3285172,0.456096,0.001284084222,0.0009602780274,0.001523061798,0.0007872187498,0.001937531109,0.28020,0.41409,0.45390,0.23963,0.42481
11-11,2458658.477,0.46998,0.2275329,0.33908,0.3255726,0.4616034,0.003241036131,0.001436090349,0.001394194176,0.002051632482,0.002214986239,0.68961,0.63116,0.41117,0.63016,0.47985
12-1,2458659.46,0.4738165,0.2265734,0.3384896,0.3258411,0.463348,0.004315342495,0.001413327223,0.0009235910567,0.002146243996,0.003374192763,0.91076,0.62378,0.27286,0.65868,0.72822
12-2,2458660.014,0.4555802857,0.2323171429,0.3393134286,0.3298231429,0.4495125714,0.002253804194,0.0006221991938,0.001111928422,0.0009074238935,0.002196603668,0.49471,0.26782,0.32770,0.27512,0.48866
12-7,2458665.014,0.4620079,0.2286168,0.3367047,0.3321265,0.4550011,0.00142099968,0.0008689508387,0.001560548753,0.001774125094,0.00185520066,0.30757,0.38009,0.46348,0.53417,0.40774
13-3,2458667.984,0.4499774,0.2314403,0.3415733,0.3218445,0.4576747,0.001592270027,0.001566778099,0.001777518442,0.002319884534,0.002167311886,0.35386,0.67697,0.52039,0.72081,0.47355
13-4,2458668.987,0.4376788,0.2294137,0.339131,0.3318172,0.4513993,0.003162758252,0.0008714784048,0.002019786672,0.002248119828,0.002885152961,0.72262,0.37987,0.59558,0.67752,0.63916
13-6,2458671.001,0.4508357,0.2288057,0.3385662,0.3313063,0.4535131,0.001545049582,0.000884991305,0.001552368822,0.001695470085,0.001553506514,0.34271,0.38679,0.45851,0.51175,0.34255
14-1,2458673.415,0.451254,0.2290288,0.3393304,0.3254371,0.4593612,0.003272112498,0.001841055284,0.002571366687,0.001896061151,0.002579653923,0.72512,0.80385,0.75778,0.58262,0.56157
